Team1,Team2,Team1_Win_Percentage,Team2_Win_Percentage
Baylor,Wisconsin,100.0,0.0
Baylor,Yale,100.0,0.0
Boise State,Brigham Young,4.279999999999999,95.72
Boise State,Clemson,99.87,0.12999999999999545
Boise State,Colgate,100.0,0.0
Boise State,College of Charleston,28.42,71.58
Boise State,Colorado,0.12,99.88
Boise State,Colorado State,100.0,0.0
Boise State,Connecticut,0.0,100.0
Boise State,Creighton,99.27,0.730000000000004
Boise State,Dayton,99.95,0.04999999999999716
Boise State,Drake,100.0,0.0
Boise State,Duke,39.160000000000004,60.839999999999996
Boise State,Duquesne,100.0,0.0
Boise State,Florida,0.0,100.0
Boise State,Florida Atlantic,0.0,100.0
Boise State,Gonzaga,0.0,100.0
Boise State,Grambling,100.0,0.0
Boise State,Grand Canyon,99.88,0.12000000000000455
Boise State,Houston,100.0,0.0
Boise State,Howard,0.37,99.63
Boise State,Illinois,0.0,100.0
Boise State,Iowa State,100.0,0.0
Boise State,James Madison,100.0,0.0
Boise State,Kansas,100.0,0.0
Boise State,Kentucky,0.01,99.99
Boise State,Long Beach State,100.0,0.0
Boise State,Longwood,28.87,71.13
Boise State,Marquette,100.0,0.0
Boise State,McNeese State,88.89,11.11
Boise State,Michigan State,100.0,0.0
Boise State,Mississippi State,93.46,6.540000000000006
Boise State,Montana State,100.0,0.0
Boise State,Morehead State,27.54,72.46000000000001
Boise State,NC State,100.0,0.0
Boise State,Nebraska,100.0,0.0
Boise State,Nevada,100.0,0.0
Boise State,New Mexico,100.0,0.0
Boise State,North Carolina,96.23,3.769999999999996
Boise State,Northwestern,100.0,0.0
Boise State,Oakland,99.95,0.04999999999999716
Boise State,Oregon,100.0,0.0
Boise State,Purdue,0.0,100.0
Boise State,Saint Mary's (CA),36.39,63.61
Boise State,Saint Peter's,100.0,0.0
Boise State,Samford,42.85,57.15
Boise State,San Diego State,100.0,0.0
Boise State,South Carolina,94.15,5.849999999999994
Boise State,South Dakota State,100.0,0.0
Boise State,Stetson,0.09,99.91
Boise State,TCU,20.74,79.26
Boise State,Tennessee,100.0,0.0
Boise State,Texas,100.0,0.0
Boise State,Texas A&M,0.0,100.0
Boise State,Texas Tech,76.0,24.0
Boise State,UAB,0.0,100.0
Boise State,Utah State,99.07000000000001,0.9299999999999926
Boise State,Vermont,100.0,0.0
Boise State,Virginia,100.0,0.0
Boise State,Wagner,100.0,0.0
Boise State,Washington State,99.98,0.01999999999999602
Boise State,Western Kentucky,100.0,0.0
Boise State,Wisconsin,56.04,43.96
Boise State,Yale,100.0,0.0
Brigham Young,Clemson,100.0,0.0
Brigham Young,Colgate,100.0,0.0
Brigham Young,College of Charleston,88.21,11.790000000000006
Brigham Young,Colorado,8.73,91.27
Brigham Young,Colorado State,100.0,0.0
Brigham Young,Connecticut,0.0,100.0
Brigham Young,Creighton,100.0,0.0
Brigham Young,Dayton,100.0,0.0
Brigham Young,Drake,100.0,0.0
Brigham Young,Duke,92.63,7.3700000000000045
Brigham Young,Duquesne,100.0,0.0
